surname,compound,initial,initial.rank,n.1930_2008,ppm.1930_2008,surname.uniqueness
王,0,w,23,88465683,74861.812,1.126
李,0,l,12,87096536,73703.206,1.133
张,0,z,26,83109353,70329.155,1.153
刘,0,l,12,62697223,53055.914,1.275
陈,0,c,3,53825412,45548.372,1.342
杨,0,y,25,39810444,33688.565,1.473
黄,0,h,8,27750712,23483.327,1.629
赵,0,z,26,24949775,21113.106,1.675
吴,0,w,23,23622133,19989.623,1.699
周,0,z,26,23192918,19626.411,1.707
徐,0,x,24,17693186,14972.404,1.825
孙,0,s,19,17199753,14554.849,1.837
朱,0,z,26,15611100,13210.492,1.879
马,0,m,13,15453832,13077.408,1.883
胡,0,h,8,14222377,12035.321,1.920
郭,0,g,7,13589708,11499.941,1.939
何,0,h,8,12688078,10736.960,1.969
高,0,g,7,12324042,10428.904,1.982
罗,0,l,12,11654386,9862.225,2.006
林,0,l,12,11609565,9824.296,2.008
郑,0,z,26,10775751,9118.702,2.040
梁,0,l,12,9913819,8389.315,2.076
谢,0,x,24,8824357,7467.385,2.127
宋,0,s,19,8648852,7318.869,2.135
唐,0,t,20,8448817,7149.594,2.146
韩,0,h,8,7593398,6425.718,2.192
许,0,x,24,7566528,6402.980,2.194
冯,0,f,6,7491551,6339.533,2.198
邓,0,d,4,7373938,6240.006,2.205
曹,0,c,3,7324974,6198.571,2.208
彭,0,p,16,6971754,5899.668,2.229
曾,0,z,26,6679993,5652.772,2.248
肖,0,x,24,6443757,5452.864,2.263
田,0,t,20,6414971,5428.504,2.265
董,0,d,4,6305008,5335.451,2.273
袁,0,y,25,6153789,5207.486,2.283
于,0,y,25,6078073,5143.413,2.289
潘,0,p,16,6044909,5115.349,2.291
蒋,0,j,10,5828878,4932.538,2.307
杜,0,d,4,5737478,4855.193,2.314
蔡,0,c,3,5732828,4851.258,2.314
余,0,y,25,5680166,4806.695,2.318
程,0,c,3,5550466,4696.939,2.328
魏,0,w,23,5482896,4639.760,2.333
叶,0,y,25,5447071,4609.444,2.336
吕,0,l,12,5340320,4519.109,2.345
丁,0,d,4,5333666,4513.478,2.345
苏,0,s,19,5311060,4494.348,2.347
任,0,r,18,5122226,4334.552,2.363
沈,0,s,19,5012587,4241.773,2.372
姚,0,y,25,4933886,4175.174,2.379
姜,0,j,10,4896622,4143.641,2.383
卢,0,l,12,4807058,4067.849,2.391
崔,0,c,3,4757700,4026.081,2.395
钟,0,z,26,4662008,3945.105,2.404
谭,0,t,20,4487036,3797.039,2.420
汪,0,w,23,4471582,3783.961,2.422
范,0,f,6,4442236,3759.128,2.425
陆,0,l,12,4388531,3713.682,2.430
金,0,j,10,4357157,3687.132,2.433
石,0,s,19,4182566,3539.389,2.451
廖,0,l,12,4115605,3482.725,2.458
贾,0,j,10,4094102,3464.529,2.460
夏,0,x,24,3938636,3332.970,2.477
付,0,f,6,3870648,3275.436,2.485
方,0,f,6,3743442,3167.792,2.499
韦,0,w,23,3698991,3130.176,2.504
邹,0,z,26,3616673,3060.517,2.514
白,0,b,2,3588151,3036.381,2.518
熊,0,x,24,3563766,3015.745,2.520
孟,0,m,13,3539522,2995.230,2.523
秦,0,q,17,3522862,2981.131,2.525
邱,0,q,17,3253603,2753.278,2.560
尹,0,y,25,3197544,2705.839,2.568
江,0,j,10,3179283,2690.387,2.570
薛,0,x,24,3146574,2662.707,2.575
闫,0,y,25,3077383,2604.156,2.584
侯,0,h,8,3052713,2583.280,2.588
段,0,d,4,2976554,2518.832,2.599
雷,0,l,12,2917435,2468.804,2.607
史,0,s,19,2632424,2227.621,2.652
龙,0,l,12,2630494,2225.988,2.652
陶,0,t,20,2601340,2201.317,2.657
顾,0,g,7,2546885,2155.236,2.666
贺,0,h,8,2538904,2148.482,2.668
黎,0,l,12,2503290,2118.345,2.674
郝,0,h,8,2475437,2094.775,2.679
毛,0,m,13,2459298,2081.118,2.681
邵,0,s,19,2434040,2059.744,2.686
龚,0,g,7,2432556,2058.488,2.686
万,0,w,23,2370139,2005.669,2.698
钱,0,q,17,2284315,1933.043,2.714
武,0,w,23,2241008,1896.395,2.722
严,0,y,25,2240852,1896.263,2.722
戴,0,d,4,2204299,1865.331,2.729
孔,0,k,11,2128308,1801.026,2.744
向,0,x,24,2110622,1786.060,2.748
覃,0,q,17,2069008,1750.845,2.757
常,0,c,3,2056982,1740.668,2.759
汤,0,t,20,2051959,1736.418,2.760
莫,0,m,13,1987618,1681.971,2.774
康,0,k,11,1935510,1637.876,2.785
文,0,w,23,1900068,1607.884,2.793
温,0,w,23,1895056,1603.642,2.795
牛,0,n,14,1882989,1593.431,2.797
代,0,d,4,1882061,1592.646,2.798
赖,0,l,12,1873769,1585.629,2.800
洪,0,h,8,1831469,1549.834,2.809
葛,0,g,7,1801833,1524.755,2.817
施,0,s,19,1797063,1520.718,2.818
邢,0,x,24,1768313,1496.389,2.825
安,0,a,1,1731244,1465.021,2.834
樊,0,f,6,1667391,1410.987,2.850
齐,0,q,17,1641237,1388.855,2.857
乔,0,q,17,1609039,1361.608,2.866
易,0,y,25,1597113,1351.516,2.869
庞,0,p,16,1546822,1308.958,2.883
倪,0,n,14,1496219,1266.137,2.897
伍,0,w,23,1495816,1265.796,2.897
鲁,0,l,12,1480591,1252.912,2.902
聂,0,n,14,1469755,1243.742,2.905
章,0,z,26,1416159,1198.388,2.921
岳,0,y,25,1397065,1182.230,2.927
颜,0,y,25,1391776,1177.755,2.929
殷,0,y,25,1373141,1161.985,2.934
翟,0,z,26,1364926,1155.034,2.937
申,0,s,19,1358397,1149.509,2.939
耿,0,g,7,1287565,1089.569,2.962
欧,0,o,15,1266711,1071.922,2.969
庄,0,z,26,1243137,1051.973,2.978
左,0,z,26,1238445,1048.002,2.979
焦,0,j,10,1236969,1046.753,2.980
兰,0,l,12,1236741,1046.560,2.980
关,0,g,7,1220178,1032.544,2.986
俞,0,y,25,1194289,1010.636,2.995
柳,0,l,12,1183330,1001.363,2.999
甘,0,g,7,1133387,959.100,3.018
祝,0,z,26,1110217,939.493,3.027
傅,0,f,6,1087273,920.077,3.036
包,0,b,2,1029143,870.886,3.060
尚,0,s,19,1020275,863.382,3.063
毕,0,b,2,1008870,853.730,3.068
舒,0,s,19,994709,841.747,3.074
宁,0,n,14,985763,834.177,3.078
曲,0,q,17,965839,817.316,3.087
梅,0,m,13,964564,816.238,3.088
童,0,t,20,947726,801.989,3.095
阮,0,r,18,944949,799.639,3.097
纪,0,j,10,942503,797.569,3.098
季,0,j,10,941840,797.008,3.098
苗,0,m,13,933769,790.178,3.102
单,0,d,4,933513,789.961,3.102
裴,0,p,16,931716,788.441,3.103
符,0,f,6,922896,780.977,3.107
谷,0,g,7,922046,780.258,3.107
凌,0,l,12,921671,779.940,3.107
成,0,c,3,911776,771.567,3.112
霍,0,h,8,911366,771.220,3.112
盛,0,s,19,908725,768.985,3.114
