item,n,n.corrected
male,600353517,
female,581570041,
1930-1959,320418582,321000000
1960-1969,203348548,205000000
1970-1979,207064944,209000000
1980-1989,204867351,207000000
1990-1999,163028277,168000000
2000-2008,82992072,90000000
beijing,11603974,
tianjin,9197204,
hebei,63875159,
shanxi,30858124,
neimenggu,21874923,
liaoning,40694870,
jilin,25965092,
heilongjiang,36171453,
shanghai,13017228,
jiangsu,68894698,
zhejiang,41477480,
anhui,62214392,
fujian,30262472,
jiangxi,41025878,
shandong,87114014,
henan,96033333,
hubei,55901501,
hunan,61416374,
guangdong,72700051,
guangxi,43969900,
hainan,7262923,
chongqing,30157925,
sichuan,80109840,
guizhou,36420272,
yunnan,38392980,
xizang,936002,
shaanxi,34651676,
gansu,22678906,
qinghai,3787598,
ningxia,5819481,
xinjiang,6378236,
others,1903920,
