name,n.male,n.female,beijing,tianjin,hebei,shanxi,neimenggu,liaoning,jilin,heilongjiang,shanghai,jiangsu,zhejiang,anhui,fujian,jiangxi,shandong,henan,hubei,hunan,guangdong,guangxi,hainan,chongqing,sichuan,guizhou,yunnan,xizang,shaanxi,gansu,qinghai,ningxia,xinjiang,others
伟,2825007,454481,48043,36847,160962,85356,74796,177841,89984,126083,42505,232928,61442,264327,33422,89036,268379,212056,193883,168796,50265,47783,9652,119204,291205,79162,77152,651,117391,49053,6316,21826,25883,7410
秀英,2811,3025281,37235,26090,182870,70961,84064,86311,55446,91627,44641,257487,51764,199515,59203,81062,312174,309251,90440,112673,112164,122710,10767,32895,227121,36676,94273,199,75486,91965,19226,27383,24953,7872
敏,504944,2234951,14525,10239,63751,61523,51924,107618,45892,68706,46037,198091,64532,269251,38288,93273,179778,141435,189260,172412,70952,64703,12640,90705,303636,166343,71021,534,88337,27706,2847,6752,13006,4178
静,186665,2455671,44619,36285,170170,64097,60148,144586,45092,73227,31285,205807,45376,185763,24706,39334,221651,225087,150437,99183,47337,50814,7608,90855,228992,74906,40170,539,125091,42859,5247,25803,26272,6559
丽,10655,2469118,19528,17641,80178,62056,49721,157852,65781,103952,14881,133422,33868,215114,17120,63955,171447,215550,145685,110634,45216,60626,12271,52517,241444,117705,97401,479,62335,42596,4214,19239,26927,6958
勇,2385686,58848,20895,15647,53924,49507,33397,82566,31725,43759,26343,138537,40228,145354,24748,80593,127719,107391,188454,184894,43880,57951,7352,148775,419281,146225,76704,996,69225,29878,4488,13033,24019,7046
杰,1851376,553794,32463,23729,114875,79531,52267,126916,56433,85672,36630,166619,77299,171775,32527,48032,162002,167446,134960,128172,49696,51002,6673,83482,215978,70747,61866,13161,72365,37991,10514,11940,17796,4671
军,2081482,167171,34130,23527,83657,58231,70124,118931,56487,88093,34637,178932,45652,160000,10438,62626,124237,96136,154864,139198,31722,49644,6111,62245,222803,76732,33963,648,84066,55347,10966,29896,35993,9272
艳,28816,2174220,16073,17690,53936,39573,33213,134589,57144,83090,16257,174807,28370,181927,17256,54825,129551,110188,140656,151897,28305,43270,7338,50087,204565,172345,103753,340,86702,23978,4406,12386,18771,4009
涛,2044983,154231,31038,19045,95934,54254,27896,82592,31788,54973,15949,115109,44751,173980,17741,77408,187323,158143,169613,105559,34455,28082,5186,67723,222986,84518,70221,496,124783,43670,3596,24276,21276,4850
强,1973581,32618,26204,24522,93951,74684,54282,105971,51050,71967,19484,101750,31537,114258,27008,73369,157272,116300,87192,72204,41759,49471,11487,68232,290102,35873,33323,550,78612,44848,6037,14049,23826,5734
磊,1733790,166453,36877,26828,117696,57190,63405,64124,41506,65543,31095,153494,37718,187322,8860,46190,169698,183076,109838,74084,12904,11666,2760,36782,117527,42724,41070,296,90743,26177,3634,14564,19912,4940
桂英,3418,1867769,19170,14057,88952,38572,49489,92752,52971,78994,21703,177989,31663,81008,33946,90997,188610,127252,69915,103809,78681,86387,10614,17164,118273,14184,58313,100,40822,48093,10715,9941,11723,4328
超,1685741,177424,31160,18461,111480,46426,29354,67005,48731,65416,20663,126938,42142,139912,14470,51000,169997,125766,122734,105892,24554,21899,4395,48361,181428,55302,46461,267,86108,18639,2715,8981,14333,3410
娟,3333,1845550,12652,13505,54567,43300,19208,48981,20000,34563,12232,202859,19496,151800,21533,59807,129130,154314,126131,153573,41399,42721,7938,55858,160879,50526,36818,342,87657,38370,5073,23548,16726,4067
燕,34734,1806976,17910,8616,43422,37397,31339,24370,14215,17163,36754,156451,61223,131177,27859,69335,143064,84901,95964,76072,58554,69240,16858,81873,258794,79194,67696,498,39863,34413,5362,20744,24320,6002
芳,52087,1721770,17038,10351,68126,53240,32714,46034,16099,29064,19632,128833,46020,166437,32856,71176,113100,109821,140783,150260,43244,49113,9852,36149,132434,59821,46655,276,54679,39815,6911,19170,15314,4292
秀兰,2224,1736823,28285,20820,122047,43233,60353,69985,46074,77102,11415,145480,17037,97897,31785,29265,221310,210734,38602,26400,57273,55633,7409,18232,83931,12234,36155,94,46184,65217,15497,18783,19322,5117
玉兰,5873,1687576,24321,20393,98165,40577,51267,84229,47397,67718,12010,128439,24543,91631,29771,44665,174912,157255,56785,65490,59981,45632,11586,23440,102208,20212,36834,152,43962,73808,17956,16708,16647,4755
平,935301,702382,17025,8223,53510,28498,29758,63886,34147,45385,21002,137085,29474,111970,21060,55022,74562,94831,115745,118400,40793,37320,9570,78648,211689,59854,46230,2702,40182,24945,3336,9633,10029,3591
波,1376291,243209,15043,5914,34724,34427,28936,96802,48451,89201,11763,78184,40549,64094,5851,41738,110304,54946,109756,110277,28627,31363,6348,86116,250749,72584,49579,752,64345,14598,1151,13318,9186,2967
玲,23370,1592109,11018,9351,35768,23981,19772,61278,25107,40072,15199,130418,28104,186680,26871,58619,92701,118122,124422,119127,47883,48105,9862,61052,141112,34263,38179,343,43204,22881,4366,12324,20166,5294
鹏,1534037,55914,29449,21631,75020,73948,36228,78090,38968,53312,4978,82993,23266,74413,12875,64439,137031,117882,101252,94597,23590,22943,4787,45771,115132,49050,32680,314,91114,45742,4388,17858,12786,3424
华,791764,778441,19785,11447,61005,29842,27628,76196,34504,58213,30876,134359,29569,70908,26789,52659,112915,89455,112258,88068,43588,52935,6556,49835,143847,57858,54911,492,43313,18950,3813,10745,13297,3959
辉,1240476,311321,22984,13277,75300,25510,17929,83565,39065,53863,18951,95861,34720,116095,30210,68264,102974,128932,105183,141038,42385,34593,5943,26556,99242,25674,29219,254,58854,23446,3247,10945,13567,4151
