top50,char.all.1950,char.all.1960,char.all.1970,char.all.1980,char.all.1990,char.all.2000,n.all.1950,n.all.1960,n.all.1970,n.all.1980,n.all.1990,n.all.2000,char.m.1950,char.m.1960,char.m.1970,char.m.1980,char.m.1990,char.m.2000,n.m.1950,n.m.1960,n.m.1970,n.m.1980,n.m.1990,n.m.2000,char.f.1950,char.f.1960,char.f.1970,char.f.1980,char.f.1990,char.f.2000,n.f.1950,n.f.1960,n.f.1970,n.f.1980,n.f.1990,n.f.2000
1,英,英,红,丽,文,宇,21309061,8568501,8190060,6708350,4225145,2605341,明,明,军,伟,文,宇,7198863,4748879,5499866,3786095,2775265,1968163,英,英,英,丽,丽,佳,20558286,8177567,6219082,6602288,3395713,1510530
2,秀,华,华,小,晓,文,16660338,8242372,8136153,5592562,3522794,2527163,文,国,国,明,伟,文,5869937,4491868,4110865,3236034,2590850,1693269,秀,秀,红,艳,晓,雨,15788106,6614252,6181130,4365248,2409001,1293896
3,玉,玉,英,华,丽,佳,14771006,7306823,6588993,5054550,3448639,2443939,国,华,建,军,志,杰,5786244,3910160,4103179,3134589,2150680,1457994,兰,玉,梅,红,婷,欣,13497301,5251250,5262063,3805445,2344022,1251995
4,兰,秀,军,红,伟,杰,13805295,7064595,6047161,4969685,3008478,1744837,德,文,华,海,杰,浩,5411360,3839415,3983329,2988471,2141009,1282163,玉,兰,丽,小,艳,婷,10862084,5176775,5187282,3682373,1951154,1221506
5,珍,明,小,海,小,雨,10924580,6024434,5522550,4797136,2945038,1743215,华,建,明,文,明,豪,5206132,3703152,3966690,2914148,2095575,1188052,珍,华,秀,燕,小,怡,10479914,4338533,4468686,3605909,1899034,1166540
6,华,平,玉,艳,明,子,10861284,5448207,5336682,4719472,2722711,1476425,生,军,文,龙,鹏,龙,4628590,3566744,3164745,2852749,2013026,1180920,桂,梅,华,梅,玲,梦,8986796,4327984,4158966,3600928,1834156,878788
7,桂,国,梅,晓,杰,欣,10136441,5434182,5314584,4578701,2705478,1472122,林,平,海,建,龙,俊,4379578,3217186,3139683,2689857,1972669,1085599,凤,凤,霞,娟,雪,慧,6633502,3795420,4087171,3367348,1816956,868308
8,明,文,春,伟,志,鑫,9190325,5419231,5313386,4517484,2493620,1401791,金,林,志,志,强,志,4173035,2709632,3018573,2688753,1960763,986915,淑,珍,艳,霞,燕,晓,6228598,3681924,4044366,3140560,1756951,854267
9,荣,兰,丽,文,玉,浩,8687049,5312327,5277436,4415515,2401788,1352577,成,志,平,华,宇,子,4125872,2542307,2946981,2605780,1577613,986828,芳,芳,玉,晓,梅,文,6210091,3492214,3776933,3057216,1691766,835318
10,文,春,建,明,婷,俊,8375350,4783710,5259132,4147906,2350723,1287798,玉,永,伟,强,超,鑫,3931272,2403298,2764229,2477500,1573341,979040,华,桂,小,玲,玉,丽,5663537,3478427,3693843,3033977,1661155,819867
11,金,建,平,燕,海,嘉,8244603,4753574,5090986,3843653,2314457,1247778,志,德,永,国,海,佳,3632654,2373372,2760882,2270080,1535382,934830,香,红,芳,芳,敏,思,5481448,3377311,3546014,2881229,1524796,817730
12,凤,金,明,春,华,怡,7473507,4694861,5072779,3835199,2268594,1245378,荣,海,强,林,林,伟,3551261,2341338,2358513,1949768,1481312,920812,荣,香,春,英,红,雪,5144136,3159751,3319677,2762151,1496188,705799
13,国,红,海,梅,佳,婷,7185052,4624826,5020924,3635619,2218269,1224933,永,生,林,永,飞,鹏,3477395,2302827,2250375,1927261,1470941,890632,梅,玲,兰,华,娟,静,5013118,2915355,3274577,2452423,1494198,688208
14,云,梅,国,军,宇,龙,7129147,4381036,4908864,3465378,2127540,1222135,福,金,勇,小,东,明,3465243,2290706,2229217,1913838,1413115,834980,云,丽,玲,春,霞,玉,4823753,2905503,3161546,2441462,1470633,686299
15,德,凤,秀,玉,鹏,晓,6883894,4232507,4823078,3390050,2108669,1214959,祥,忠,红,辉,涛,博,3425592,2256359,2018141,1879298,1407291,819318,花,春,凤,玉,文,宇,4619098,2856278,2660976,2320935,1452805,638334
16,芳,荣,文,娟,艳,豪,6809041,4220351,4494930,3370472,2099038,1203648,兴,成,春,平,建,涛,3071596,2180265,1999430,1867874,1353105,798656,美,云,云,秀,慧,琪,4219264,2823532,2312851,2043342,1452288,634705
17,淑,云,艳,建,雪,思,6312851,4209718,4359653,3354364,2078315,1160226,忠,玉,东,涛,辉,泽,3021941,2067106,1935994,1857649,1337179,737883,金,花,珍,凤,芳,雅,4087342,2796545,2272653,1877954,1435789,615098
